Date,Issuer,Symbol,Lead/Joint-Lead Manager,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Chg Opening,$ Chg Close,Star Ratings,Performed
2016/2/3,"BeiGene, Ltd. ",BGNE,Goldman Sachs/ Morgan Stanley/ Cowen and Company,$24.00 ,$28.97 ,$28.32 ,18.00%,$4.97 ,$4.32 ,3,
2016/2/3,Editas Medicine ,EDIT,Morgan Stanley/ J.P. Morgan,$16.00 ,$18.00 ,$18.20 ,13.75%,$2.00 ,$2.20 ,2,
2016/2/11,AveXis ,AVXS,Goldman Sachs/ Jefferies,$20.00 ,$18.02 ,$18.05 ,-9.75%,($1.98),($1.95),2,Missed
2016/2/11,Proteostasis Therapeutics ,PTI,Leerink Partners/ RBC Capital Markets,$8.00 ,$8.00 ,$6.64 ,-17.00%,$0.00 ,($1.36),1,
2016/2/24,Silver Run Acquisition ,SRAQU,Deutsche Bank Securities/ Citigroup/ Goldman Sachs,$10.00 ,$10.01 ,$10.21 ,2.10%,$0.01 ,$0.21 ,1,
2015/1/16,Patriot National  ,PN,UBS Investment Bank/ BMO Capital Markets/ SunTrust Robinson Humphrey,$14.00 ,$13.49 ,$13.50 ,-3.57%,($0.51),($0.50),1,
2015/1/27,Zosano Pharma (ZSAN),ZSAN,Ladenburg Thalmann/ Roth Capital Partners,$11.00 ,$12.16 ,$11.10 ,0.91%,$1.16 ,$0.10 ,1,
2015/1/28,Ascendis Pharma A/S  ,ASND,BofA Merrill Lynch/ Leerink Partners,$18.00 ,$21.50 ,$18.83 ,4.61%,$3.50 ,$0.83 ,2,
2015/1/29,Entellus Medical ,ENTL,BofA Merrill Lynch/ Piper Jaffray,$17.00 ,$19.26 ,$22.00 ,29.41%,$2.26 ,$5.00 ,2,
2015/1/29,Flex Pharma  ,FLKS,Jefferies/ Piper Jaffray,$16.00 ,$19.00 ,$14.95 ,-6.56%,$3.00 ,($1.05),2,
2015/1/29,Presbia PLC ,LENS,Jefferies,$10.00 ,$9.25 ,$8.15 ,-18.50%,($0.75),($1.85),1,
2015/1/30,Avinger  ,AVGR,Canaccord Genuity/ Cowen,$13.00 ,$13.15 ,$13.50 ,3.85%,$0.15 ,$0.50 ,1,
2015/1/30,InfraREIT ,HIFR,BofA Merrill Lynch/ Citigroup,$23.00 ,$27.10 ,$26.60 ,15.65%,$4.10 ,$3.60 ,3,
2015/1/30,Spark Therapeutics ,ONCE,J.P. Morgan/ Credit Suisse,$23.00 ,$42.05 ,$50.00 ,117.39%,$19.05 ,$27.00 ,4,
2015/1/30,Tracon Pharmaceuticals ,TCON,Wells Fargo Securities/ Stifel,$10.00 ,$10.00 ,$9.40 ,-6.00%,$0.00 ,($0.60),1,
2015/2/5,Nexvet Biopharma plc ,NVET,BofA Merrill Lynch/ Cowen and Company,$10.00 ,$9.15 ,$8.88 ,-11.20%,($0.85),($1.12),1,
2015/2/6,Barington/Hilco Acquisition  ,BHACU,EarlyBirdCapital,$10.00 ,$10.00 ,$9.99 ,-0.10%,$0.00 ,($0.01),1,
2015/2/6,Columbia Pipeline Partners LP ,CPPL,Barclays/ Citigroup/ BofA Merrill Lynch/ Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ Wells Fargo Securities,$23.00 ,$28.00 ,$26.79 ,16.48%,$5.00 ,$3.79 ,3,
2015/2/6,Easterly Government Properties  (DEA),DEA,Citigroup/ Raymond James/ RBC Capital Markets,$15.00 ,$16.25 ,$15.50 ,3.33%,$1.25 ,$0.50 ,1,
2015/2/10,Avenue Financial  ,AVNU,"Keefe, Bruyette & Woods (A Stifel Company)",$11.00 ,$14.30 ,$11.85 ,7.73%,$3.30 ,$0.85 ,2,
2015/2/12,Inovalon Holdings ,INOV,Goldman Sachs/ Morgan Stanley/ Citigroup/ BofA Merrill Lynch/ UBS Investment Bank,$27.00 ,$33.16 ,$27.00 ,0.00%,$6.16 ,$0.00 ,3,
2015/2/12,Invitae  ,NVTA,J.P. Morgan,$16.00 ,$17.50 ,$17.05 ,6.56%,$1.50 ,$1.05 ,3,
2015/2/13,Bellerophon Therapeutics   ,BLPH,Leerink Partners/ Cowen and Company,$12.00 ,$10.00 ,$8.97 ,-25.25%,($2.00),($3.03),1,
2015/2/13,Eyegate Pharmaceuticals   ,EYEG,Aegis Capital Corp,$6.00 ,$6.00 ,$6.00 ,0.00%,$0.00 ,$0.00 ,1,
