日期,pv
2017/12/31," 874,185 "
2017/12/30," 1,062,207 "
2017/12/29," 1,090,762 "
2017/12/28," 1,093,813 "
2017/12/27," 1,089,604 "
2017/12/26," 1,073,583 "
2017/12/25," 896,523 "
2017/12/24," 918,468 "
2017/12/23," 1,079,017 "
2017/12/22," 1,107,021 "
2017/12/21," 1,113,006 "
2017/12/20," 1,119,031 "
2017/12/19," 1,121,223 "
2017/12/18," 939,648 "
2017/12/17," 949,225 "
2017/12/16," 1,107,323 "
2017/12/15," 1,130,642 "
2017/12/14," 1,133,580 "
2017/12/13," 1,135,299 "
2017/12/12," 1,137,646 "
2017/12/11," 949,995 "
2017/12/10," 949,588 "
2017/12/9," 1,102,891 "
2017/12/8," 1,122,456 "
2017/12/7," 1,122,340 "
2017/12/6," 1,124,863 "
2017/12/5," 1,128,155 "
2017/12/4," 938,988 "
2017/12/3," 937,616 "
2017/12/2," 1,091,473 "
2017/12/1," 1,109,149 "
2017/11/30," 1,123,213 "
2017/11/29," 1,133,546 "
2017/11/28," 1,127,555 "
2017/11/27," 937,176 "
2017/11/26," 933,659 "
2017/11/25," 1,082,188 "
2017/11/24," 1,102,934 "
2017/11/23," 1,114,393 "
2017/11/22," 1,120,525 "
2017/11/21," 1,119,915 "
2017/11/20," 934,871 "
2017/11/19," 936,745 "
2017/11/18," 1,092,818 "
2017/11/17," 1,107,353 "
2017/11/16," 1,111,171 "
2017/11/15," 1,118,648 "
2017/11/14," 1,118,313 "
2017/11/13," 940,192 "
2017/11/12," 953,294 "
2017/11/11," 1,101,805 "
2017/11/10," 1,104,845 "
2017/11/9," 1,107,823 "
2017/11/8," 1,108,660 "
2017/11/7," 1,103,895 "
2017/11/6," 919,528 "
2017/11/5," 912,544 "
2017/11/4," 1,061,821 "
2017/11/3," 1,071,780 "
2017/11/2," 1,109,617 "
2017/11/1," 1,122,159 "
2017/10/31," 1,124,250 "
2017/10/30," 940,703 "
2017/10/29," 939,618 "
2017/10/28," 1,095,791 "
2017/10/27," 1,110,775 "
2017/10/26," 1,119,952 "
2017/10/25," 1,119,298 "
2017/10/24," 1,118,452 "
2017/10/23," 933,262 "
2017/10/22," 934,482 "
2017/10/21," 1,087,049 "
2017/10/20," 1,106,561 "
2017/10/19," 1,110,547 "
2017/10/18," 1,112,821 "
2017/10/17," 1,114,137 "
2017/10/16," 943,018 "
2017/10/15," 938,882 "
2017/10/14," 1,078,308 "
2017/10/13," 1,094,933 "
2017/10/12," 1,096,966 "
2017/10/11," 1,089,454 "
2017/10/10," 1,068,111 "
2017/10/9," 867,963 "
2017/10/8," 790,415 "
2017/10/7," 757,076 "
2017/10/6," 726,515 "
2017/10/5," 708,506 "
2017/10/4," 728,104 "
2017/10/3," 744,254 "
